PlayDate,No1,No2,No4,No3,No5,No6,No7,Bonus,Jackpot
2011-12-23,3,4,25,9,26,37,39,45,0.0
2011-12-30,2,13,28,22,35,41,42,4,0.0
2012-01-06,1,2,13,8,22,45,46,48,0.0
2012-01-13,6,15,26,18,41,46,48,27,0.0
2012-01-20,9,15,23,21,41,43,44,46,0.0
2012-01-27,8,24,34,28,37,43,45,21,0.0
2012-02-03,2,8,14,12,33,37,47,46,0.0
2012-02-17,1,15,28,26,31,39,49,18,0.0
2012-02-24,6,17,24,23,25,31,38,7,0.0
2012-03-02,4,13,15,14,34,46,47,49,0.0
2012-03-09,7,18,29,19,39,47,48,32,0.0
2012-03-16,5,7,24,18,28,41,49,26,0.0
2012-03-23,6,18,23,21,24,32,48,47,0.0
2012-03-30,3,11,19,12,35,45,47,13,0.0
2012-04-06,15,18,25,19,32,42,49,43,0.0
2012-04-13,2,6,12,11,16,39,45,3,0.0
2012-04-20,14,15,19,16,30,36,46,42,0.0
2012-04-27,3,23,40,28,42,43,45,17,0.0
2012-05-04,3,5,25,6,37,43,45,21,0.0
2012-05-11,1,6,24,7,31,36,39,26,0.0
2012-05-18,3,4,15,13,21,29,48,26,0.0
2012-05-25,1,2,6,3,12,20,41,10,0.0
2012-06-01,4,7,24,13,26,27,43,41,0.0
2012-06-08,9,10,24,16,26,44,48,27,0.0
2012-06-15,8,11,28,20,36,43,47,18,0.0
2012-06-22,1,12,22,20,30,34,38,33,0.0
2012-06-29,10,14,28,20,35,40,42,44,0.0
2012-07-06,14,26,34,31,37,45,48,38,0.0
2012-07-13,3,13,23,14,33,36,45,7,0.0
2012-07-20,4,7,35,29,39,43,44,46,0.0
2012-07-27,2,20,26,25,46,47,48,44,0.0
2012-08-03,1,2,26,18,27,39,42,33,0.0
2012-08-10,2,15,19,18,22,27,49,40,0.0
2012-08-17,18,19,27,22,29,36,47,25,0.0
2012-08-24,2,3,22,5,23,32,33,8,0.0
2012-08-31,5,12,28,13,33,37,43,44,0.0
2012-09-07,11,14,20,18,37,41,46,8,0.0
2012-09-14,2,27,31,30,37,46,47,21,0.0
2012-09-21,7,8,11,10,19,34,45,44,0.0
2012-09-28,5,6,33,32,39,42,47,9,0.0
2012-10-05,1,12,27,23,30,31,37,33,0.0
2012-10-12,5,7,15,12,35,45,47,40,0.0
2012-10-19,1,2,15,3,22,37,41,6,0.0
2012-10-26,3,4,25,20,30,35,48,23,0.0
2012-11-02,1,2,26,5,29,36,47,13,0.0
2012-11-09,8,9,22,11,24,42,46,13,0.0
2012-11-16,1,5,19,9,27,35,48,30,0.0
2012-11-23,6,8,17,10,28,29,38,34,0.0
2012-11-30,3,10,23,13,31,41,45,33,0.0
2012-12-07,5,11,29,22,38,42,49,33,0.0
2012-12-14,3,6,33,10,39,48,49,18,0.0
2012-12-21,7,8,18,17,20,40,41,33,0.0
2012-12-28,1,9,28,25,32,41,48,12,0.0
2013-01-04,3,6,23,16,27,28,34,22,0.0
2013-01-11,2,25,37,26,39,48,49,40,0.0
2013-01-18,8,16,28,17,32,34,47,19,0.0
2013-01-25,1,18,29,19,31,32,46,36,0.0
2013-02-01,5,9,32,10,37,44,46,38,0.0
2013-02-08,3,8,30,13,38,45,47,10,0.0
2013-02-15,14,23,25,24,28,41,45,37,0.0
2013-02-22,5,12,31,24,39,45,49,35,0.0
2013-03-01,1,2,6,5,38,39,46,33,0.0
2013-03-08,9,15,28,17,35,39,41,36,0.0
2013-03-15,9,16,19,17,22,41,43,12,0.0
2013-03-22,7,12,19,16,21,24,47,34,0.0
2013-03-29,8,11,13,12,22,33,47,7,0.0
2013-04-05,2,14,17,15,24,38,40,31,0.0
2013-04-12,3,6,40,37,42,44,48,18,0.0
2013-04-19,2,3,20,8,28,31,34,42,0.0
2013-04-26,10,13,18,15,25,36,47,30,0.0
2013-05-03,4,6,26,21,30,34,35,39,0.0
2013-05-10,3,10,21,19,27,35,36,49,0.0
2013-05-17,8,18,27,21,33,46,49,26,0.0
2013-05-24,9,19,24,21,39,43,48,6,0.0
2013-05-31,5,7,15,10,22,45,47,23,0.0
2013-06-07,5,19,34,24,35,38,43,8,0.0
2013-06-14,2,12,18,15,21,22,25,5,0.0
2013-06-21,2,9,13,12,27,28,36,20,0.0
2013-06-28,2,7,38,15,43,44,47,1,0.0
2013-07-05,5,12,39,15,44,46,49,18,0.0
2013-07-12,14,16,36,17,45,46,48,7,0.0
2013-07-19,3,17,20,19,34,35,43,4,0.0
2013-07-26,5,9,18,12,24,35,42,17,0.0
2013-08-02,2,9,29,23,30,34,43,40,0.0
2013-08-09,6,15,26,19,43,44,49,30,0.0
2013-08-16,2,6,22,20,30,34,49,45,0.0
2013-08-23,5,6,17,10,22,36,48,3,0.0
2013-08-30,6,19,25,20,31,35,36,45,0.0
2013-09-06,1,7,36,23,37,39,41,33,0.0
2013-09-13,2,6,15,12,16,22,49,46,0.0
2013-09-20,2,14,24,15,40,43,44,45,0.0
2013-09-27,10,11,24,18,26,42,47,45,0.0
2013-10-04,12,16,20,19,28,34,42,9,0.0
2013-10-11,7,8,16,9,21,28,48,29,0.0
2013-10-18,10,26,33,28,34,35,40,12,0.0
2013-10-25,13,16,29,24,33,40,49,28,0.0
2013-11-01,11,12,22,16,30,32,49,35,0.0
2013-11-08,7,8,15,10,24,26,41,12,0.0
2013-11-15,1,3,15,10,25,28,31,7,0.0
2013-11-22,2,24,38,35,39,41,48,20,0.0
2013-11-29,3,6,31,19,34,42,45,30,0.0
2013-12-06,3,4,18,11,37,42,44,47,0.0
2013-12-13,6,16,32,24,36,45,47,25,0.0
2013-12-20,2,13,24,18,27,37,43,14,0.0
2013-12-27,1,6,11,9,17,37,39,32,0.0
2014-01-03,7,16,35,31,39,44,48,42,0.0
2014-01-10,12,28,38,31,40,41,45,15,0.0
2014-01-17,4,9,32,18,35,38,40,12,0.0
2014-01-24,7,10,23,15,30,36,44,45,0.0
2014-01-31,6,10,27,16,38,40,45,39,0.0
2014-02-07,13,19,38,37,40,43,48,46,0.0
2014-02-14,6,8,16,11,17,19,24,29,0.0
2014-02-21,1,10,23,16,29,35,39,46,0.0
2014-02-28,4,7,22,20,26,28,29,47,0.0
2014-03-07,1,6,16,7,22,31,33,25,0.0
2014-03-14,3,4,7,5,31,33,40,49,0.0
2014-03-21,1,2,21,4,23,35,40,5,0.0
2014-03-28,8,15,21,16,31,37,39,20,0.0
2014-04-04,19,30,34,33,36,41,48,11,0.0
2014-04-11,1,3,33,14,35,39,45,28,0.0
2014-04-18,9,16,30,24,39,40,45,14,0.0
2014-04-25,3,9,25,24,28,36,40,48,0.0
2014-05-02,6,15,19,18,25,44,46,28,0.0
2014-05-09,5,7,35,29,39,41,49,14,0.0
2014-05-16,12,13,30,16,32,35,37,7,0.0
2014-05-23,3,11,24,16,31,39,43,2,0.0
2014-05-30,2,5,11,10,23,25,31,46,0.0
2014-06-06,3,5,30,17,36,47,49,31,0.0
2014-06-13,12,16,29,24,36,40,47,44,0.0
2014-06-20,12,17,36,32,43,44,49,4,0.0
2014-06-27,4,6,16,7,18,40,46,34,0.0
2014-07-04,5,10,20,11,26,38,46,44,0.0
2014-07-11,1,6,16,10,18,21,31,5,0.0
2014-07-18,1,3,33,16,34,40,42,2,0.0
2014-07-25,7,9,30,24,35,42,43,36,0.0
2014-08-01,1,2,10,5,11,25,34,36,0.0
2014-08-08,6,9,19,16,20,24,30,31,0.0
2014-08-15,9,16,27,17,32,38,47,37,0.0
2014-08-22,13,16,26,22,35,36,39,44,0.0
2014-08-29,1,23,33,26,35,38,42,18,0.0
2014-09-05,3,8,20,11,28,36,38,26,0.0
2014-09-12,5,6,13,8,24,37,46,30,0.0
2014-09-19,4,7,10,8,16,20,36,27,0.0
2014-09-26,2,3,18,5,37,38,46,33,0.0
2014-10-03,7,15,25,24,27,43,47,22,0.0
2014-10-10,5,13,28,18,31,38,44,46,0.0
2014-10-17,18,19,36,32,38,40,43,1,0.0
2014-10-24,8,27,32,30,34,35,42,17,0.0
2014-10-31,3,12,30,25,42,44,45,26,0.0
2014-11-07,1,3,8,6,14,20,30,28,0.0
2014-11-14,2,5,13,7,15,30,38,27,0.0
2014-11-21,6,18,26,19,37,39,47,21,0.0
2014-11-28,3,4,12,7,17,26,34,1,0.0
2014-12-05,10,14,16,15,42,45,48,49,0.0
2014-12-12,2,14,34,30,38,47,48,16,0.0
2014-12-19,3,6,17,13,22,25,43,47,0.0
2014-12-26,15,20,39,29,40,43,46,12,0.0
2015-01-02,8,9,19,14,28,31,46,48,0.0
2015-01-09,3,7,18,12,31,33,35,26,0.0
2015-01-16,6,29,31,30,36,42,45,32,0.0
2015-01-23,1,14,18,15,26,42,48,39,0.0
2015-01-30,10,15,28,21,32,36,37,9,0.0
2015-02-06,1,5,13,7,14,33,46,47,0.0
2015-02-13,6,9,22,18,25,32,44,46,0.0
2015-02-27,4,12,27,16,37,39,44,32,0.0
2015-03-06,2,8,10,9,24,26,41,37,0.0
2015-03-13,2,8,15,10,17,20,24,14,0.0
2015-03-20,7,10,35,16,36,42,45,24,0.0
2015-03-27,3,7,23,15,29,31,45,46,0.0
2015-04-03,10,11,28,23,32,34,41,29,0.0
2015-04-10,7,8,18,16,24,25,46,37,0.0
2015-04-17,7,11,15,14,19,30,41,22,0.0
2015-04-24,3,37,40,38,42,43,46,12,0.0
2015-05-01,6,18,37,20,40,44,46,49,0.0
2015-05-08,1,7,27,17,32,44,48,18,0.0
2015-05-15,16,23,25,24,40,46,47,17,0.0
2015-05-22,1,4,24,21,29,30,46,25,0.0
2015-05-29,1,30,39,38,44,45,47,43,0.0
2015-06-05,2,10,16,13,30,33,48,44,0.0
2015-06-12,4,7,19,11,34,38,48,45,0.0
